Year,Age_A,Age_B,SS_A,SS_B,Expenses,Income,RMD_A,RMD_B,WD_Taxable,WD_TD,WD_Roth,Taxes,Taxable_End,TD_A_End,TD_B_End,Roth_End,Portfolio_End,Regime,Inflation,Growth
2035,75,70,0.0,28285.205322265607,66700.30956806231,41095.322265624985,0,0.0,0.0,25325.906509265522,0.0,6331.4766273163805,0.0,0.0,1736857.5661593634,367250.4883436953,2104108.0545030585,high,0.004201680672268893,0.11464108136404236
2036,76,71,0.0,28992.335455322245,73013.50759302295,41785.20532226561,0,0.0,0.0,24915.104245796698,0.0,6228.776061449174,0.0,0.0,1647535.5597316744,354724.38539577875,2002259.9451274532,high,0.094650205761317,-0.034107791127547436
2037,77,72,0.0,29717.1438417053,77726.09239921677,42492.335455322245,0,0.0,0.0,30521.1721377007,3.637978807091713e-12,7630.293034425176,0.0,0.0,1651299.7754092372,363963.0215784736,2015262.796987711,high,0.0645440133141082,0.026044547719455514
2038,78,73,0.0,30460.07243774793,82092.72680366714,43217.1438417053,0,0.0,0.0,34508.94855751147,0.0,8627.237139377867,0.0,0.0,1798498.2543879673,407039.96978798707,2205538.2241759542,high,0.05617977528089879,0.11835528791549418
2039,79,74,0.0,31221.574248691628,87252.84105989763,43960.072437747935,0,0.0,0.0,38132.65436591921,0.0,9533.163591479803,0.0,0.0,2317996.557267276,538896.3723806054,2856892.9296478815,high,0.06285714285714272,0.3239396923631301
2040,80,75,0.0,32002.113604908915,98373.30119498263,44721.57424869163,0,75382.00186235044,42531.26681120596,75382.00186235049,0.0,18845.50046558767,31797.024235833607,0.0,2152440.07248902,521610.8859211652,2705847.9826460187,low,0.12745098039215685,-0.03207571500821329
2041,81,76,0.0,32802.16644503163,96310.2543399861,45502.11360490891,0,72656.20497853232,52951.19125669226,72656.20497853232,0.0,18084.047578014535,55730.227387801824,0.0,2227413.602287225,563558.408410287,2846702.2380853137,low,-0.02097161353676058,0.08041918529948328
2042,82,77,0.0,33622.22060615742,97830.94256640694,46302.16644503163,0,77813.57562575459,49804.310961410374,78017.35255929868,0.0,19708.115073368765,85532.49394904217,0.0,2180803.345986512,577029.3112215287,2843365.151157083,low,0.015789473684210575,0.023903294867414153
2043,83,78,0.0,34462.77612131135,94234.21673675963,47122.22060615742,0,79301.93985405497,50511.8622330906,79498.7995812139,0.0,20071.559622462402,161114.34910329236,0.0,2938410.718404997,814607.8599623132,3914132.927470603,low,-0.03676470588235292,0.41172700263327733
2044,84,79,0.0,35324.34552434413,95989.35045287902,47962.77612131135,0,111408.93719071077,44999.49210789209,112680.88569826697,0.0,29442.16993212293,267229.44878097245,0.0,3304239.621174078,962145.5627798659,4533614.632734916,low,0.018625227405691724,0.1811150003197592
2045,85,80,0.0,36207.45416245273,86737.36486705935,48824.34552434413,0,130860.97509600308,45699.89944968665,132326.0805748513,0.0,34546.62562256108,510580.9758070606,0.0,4566861.872533915,1399879.2728797863,6477322.121220762,low,-0.09638554216867479,0.454955806099863
2046,86,81,0.0,37112.64051651404,88722.33923641646,49707.45416245273,0,188324.20092923363,35183.50088540987,190170.6107484304,0.0,49389.062506304355,714693.7278228077,0.0,4674620.002475382,1511591.3637849058,6900905.094083095,low,0.02288488210818307,0.07980123219862309
2047,87,82,0.0,38040.45652942688,89374.7093778607,50612.64051651404,0,202145.72983677327,36408.56836308005,203846.86019359564,0.0,52662.845405221284,1037680.3500878597,0.0,5219296.857168007,1785018.248903735,8041995.456159601,low,0.007352941176470562,0.18088677381312243
2048,88,83,0.0,38991.46794266255,90920.98462661261,51540.45652942688,0,235900.4229228478,35960.71940571297,237773.95636556862,0.0,61317.022534113,1304048.1638754185,0.0,5194130.442259242,1883679.0004970913,8381857.606631752,high,0.01730103806228378,0.05527156467669087
2049,89,84,0.0,39966.25464122911,97614.55404697673,52491.46794266255,0,247339.5448694877,36659.901905825696,249109.15964761208,0.0,64046.90469002738,1734979.8151698108,0.0,5599270.56440061,2160102.679155873,9494353.058726294,high,0.07361963190184051,0.14674670078385726
2050,90,85,0.0,40965.411007259834,104935.64560049998,53466.25464122911,0,279963.5282200305,41892.127937925456,282219.69968785264,0.0,72811.09638978532,2165280.018789351,0.0,5764238.580650779,2373269.1960977484,10302787.795537878,mid,0.07499999999999996,0.09868351120474358
2051,91,86,0.0,41989.546282441326,109853.64057598417,54465.411007259834,0,303380.9779289884,47814.73488646245,306036.4776357661,0.0,79164.61911571922,2523977.3982022614,0.0,5617121.555269062,2477090.6847466007,10618189.638217924,high,0.04686677198525535,0.0437461914643147
2052,92,87,0.0,43039.28493950236,121783.447697358,55489.546282441326,0,312062.308626059,51620.979146537284,314805.4237730645,0.0,81444.47109027169,2733636.5535607184,0.0,5133403.847603487,2434311.755042357,10301352.156206563,high,0.10859728506787314,-0.017269827853968876
2053,93,88,0.0,44115.267062989915,127924.88765634494,56539.28493950236,0,299760.80861918174,62380.23690625212,302624.73447078525,0.0,78520.10946929983,3074548.176429714,0.0,4925572.754966369,2521570.911091871,10521691.842487954,high,0.0504291845493563,0.03584551398101246
2054,94,89,0.0,45218.14873956466,142767.0016938214,57615.267062989915,0,305461.8762769841,67267.43122024095,308504.0656500982,0.0,80168.20578563864,2287266.343322078,0.0,3137461.6190607566,1742606.1347666143,7167334.0971494485,high,0.11602209944751363,-0.30892043245690665
2055,95,90,0.0,46348.60245805378,151561.44899816078,58718.14873956466,0,205735.18813513158,84391.36801213089,205735.18813513158,0.0,51091.28197590874,2406918.241126886,0.0,2877860.1348889805,1741134.4483013842,7025912.82431725,high,0.06159999999999988,-0.000844531897293708
2056,96,91,0.0,47507.317519505115,159172.54675996656,59848.60245805378,0,200198.9659053204,92068.920726951,200198.9659053204,0.0,49693.667289486104,2772621.2016745997,0.0,2896302.188266866,1919177.036562821,7588100.426504286,low,0.050217900476117405,0.10225665710946762
2057,97,92,0.0,48695.00045749274,160920.09530627908,61007.317519505115,0,214540.90283458267,97218.25090718766,215487.88116785645,0.0,54818.9486252379,2872813.52609015,0.0,2612226.943560188,1908426.3457662784,7393466.815416615,low,0.010978956999085021,-0.005601719170106707
