Year,Age_A,Age_B,SS_A,SS_B,Expenses,Income,RMD_A,RMD_B,WD_Taxable,WD_TD,WD_Roth,Taxes,Taxable_End,TD_A_End,TD_B_End,Roth_End,Portfolio_End,Regime,Inflation,Growth
2036,76,71,32002.113604908915,16971.123193359366,112038.12639009253,74778.76760806661,36847.67527999205,0.0,33040.68317895606,36887.77274263888,0,9262.040648306547,9542.95155352934,1194226.3881546855,909767.2444100676,437966.54412719223,2551503.128245475,mid,0.03874092009685226,0.14222724997669012
2037,77,72,32802.16644503163,17395.401273193347,116039.48804688155,75973.23679826828,41719.69914950866,0.0,35932.36788855761,41852.2208527753,0,10595.576916460466,16637.16833139467,1250143.9670927536,995852.5273358491,479447.14124943624,2742080.804009434,mid,0.03571428571428581,0.094711794036481
2038,78,73,33622.22060615742,17830.28630502318,119582.07757341456,77197.56771822498,45459.78062155468,0.0,38671.93586212773,45629.76508808353,0,11577.42573854973,31705.022638109807,1626768.2138878105,1357575.7275173818,653660.0196316761,3669708.983674978,high,0.030529172320217013,0.3633620130224203
2039,79,74,34462.77612131135,18276.04346264876,130383.03941875523,78452.5069111806,61678.415692428825,0.0,40526.49258193901,62281.49377272378,0,16173.4515234759,47270.24921508764,1401509.6873119427,1227780.9435888752,591318.3733320175,3267879.2534479233,high,0.0903225806451613,-0.09537319772867085
2040,80,75,35324.34552434413,18732.944549214975,139426.94966745502,79738.81958396011,55505.334150968025,39927.835563865854,50637.60125975458,95439.78828987441,0,23866.565647509153,92110.93388040886,1332872.2463168316,1178529.1963621567,591650.678298589,3195163.054857986,high,0.06936416184971095,0.0005619730107471561
2041,81,76,36207.45416245273,0.0,110057.86187307129,48824.34552434413,103562.94608985519,0.0,55740.2283717102,103568.58444439212,0,25897.784465634963,153600.88671697993,2614688.7746588355,-3.435750906101067e-15,649463.0110618804,3417752.672437696,high,0.05247813411078739,0.0977136254276636
2042,82,77,37112.64051651404,0.0,122111.81817345529,49707.45416245273,113067.62268794964,0.0,59883.053485796314,113534.97691277189,0,28851.098453015224,258259.6500860305,3095301.4957017186,-2.4786123894465935e-13,812968.3658546668,4166529.511642416,high,0.10952380952380958,0.25175468349683694
2043,83,78,38040.45652942688,0.0,129939.36518471631,50612.64051651404,139900.632574089,0.0,69813.16555179785,141586.64467923238,0,37082.67327495151,355790.13068924047,3178550.4740467034,-1.0345007831647272e-12,885462.3850330635,4419802.989769007,high,0.06410146968856267,0.08917200499208137
2044,84,79,38991.46794266255,0.0,138952.50034203767,51540.45652942688,151359.54638317635,0.0,76532.68360316381,153225.77143530198,0,40172.66791095112,439968.38197746617,3065169.0620456724,-1.858867486044962e-12,908629.1653380572,4413766.609361196,high,0.06936416184971095,0.026163483278997517
2045,85,80,39966.25464122911,0.0,164147.18446998956,52491.46794266255,153258.45310228362,0.0,84728.28701342845,154991.1984882303,0,40480.54500800424,543172.3610217491,3077716.450256078,-2.7656366606607074e-12,973905.98659077,4594794.797868597,high,0.18131868131868134,0.07184099272053023
2046,86,81,40965.411007259834,0.0,178388.26440117587,53466.25464122911,161985.0763292673,0.0,108229.70482091467,164436.30133711308,0,43560.30034212404,620156.6256159786,2996242.742391999,-3.9497182950075156e-12,1015976.6494872313,4632376.017495208,high,0.08675799086757996,0.04319786866053976
2047,87,82,41989.546282441326,0.0,194128.4053777502,54465.411007259834,166457.9301328888,0.0,121241.88552183966,169138.8980049652,0,44965.69237331768,648574.4636401894,2725494.465369741,-4.957977254495419e-12,994333.4255892005,4368402.35459913,high,0.08823529411764697,-0.021302875325879038
2048,88,83,43039.28493950236,0.0,215390.0878715038,55489.546282441326,159152.96148144474,0.0,136541.54801865647,161250.27255809715,0,42409.87921617669,709838.5694393077,2677648.5278473506,-6.186297816139874e-12,1054892.0609385425,4442379.158225201,high,0.10952380952380958,0.06090375098620206
2049,89,84,44115.267062989915,0.0,233178.35686581215,56539.28493950236,166055.72265720004,0.0,155906.56010593052,168999.96548327096,0,45194.23419688866,731831.0944892812,2517263.1687374436,-7.564944744021003e-12,1076647.125579843,4325741.3888065675,high,0.08258629340882373,0.020623024332882895
2050,90,85,45218.14873956466,0.0,255983.0861436422,57615.267062989915,165066.43729425862,0.0,172527.4225000613,168102.10459701956,0,45061.19345201582,755258.6879062668,2415639.7613018854,-9.685108360891282e-12,1127281.6714125825,4298180.120620735,high,0.097799511002445,0.047029843511140756
